neuron_id,observed,cell_type,teacher_rate_hz,student_rate_hz
3144,True,excitatory,0,0
3198,True,excitatory,0,0
3216,True,excitatory,0,0
3218,True,excitatory,0,0
3221,True,excitatory,0.5,0.3
3222,True,excitatory,0,0
3235,True,excitatory,0.9,1.2
3248,True,excitatory,0.7,0.7
3271,True,inhibitory,2.5,2.9
3277,True,excitatory,0.1,0
3281,True,excitatory,0,0
3295,True,excitatory,4.2,4.4
3296,True,excitatory,0,0
3306,True,inhibitory,1.9,1.8
3313,True,inhibitory,0,0
3316,True,inhibitory,1.4,1.8
3320,True,inhibitory,5.2,6.7
3364,True,excitatory,16.4,17.6
3374,True,excitatory,0.9,1
3376,True,excitatory,0,0
3383,True,excitatory,0.1,0.3
3384,True,excitatory,0.4,0.2
3391,True,excitatory,0,0
3392,True,excitatory,22.3,16.2
3404,True,excitatory,0.2,0.4
3407,True,excitatory,0.3,0.3
3408,True,excitatory,0,0
3411,True,excitatory,0.1,0.1
3418,True,excitatory,0,0
3430,True,excitatory,15.1,16.4
3432,True,excitatory,0,0
3433,True,inhibitory,130,129.9
3434,True,excitatory,0,0
3443,True,excitatory,0.4,0.2
3445,True,inhibitory,12.9,14.5
3455,True,excitatory,0,0.1
3471,True,inhibitory,1.5,1.2
3491,True,excitatory,0,0
3506,True,excitatory,0,0
3520,True,excitatory,0,0
3546,True,inhibitory,6,6
3554,True,excitatory,0.1,0
3577,True,inhibitory,44.3,43.7
3579,True,excitatory,20.1,20.7
3580,True,excitatory,0.2,0.1
3585,True,excitatory,0.2,0
3590,True,inhibitory,9.1,9.2
3596,True,excitatory,0.4,0.3
3599,True,excitatory,6.1,6.4
3615,True,excitatory,0,0
3618,True,excitatory,0.1,0
3624,True,excitatory,0.2,0.4
3642,True,excitatory,35.7,35
3656,True,excitatory,10.6,9.8
3657,True,inhibitory,2.6,1.4
3668,True,inhibitory,108.7,110.1
3676,True,excitatory,0,0
3687,True,excitatory,0,0
3693,True,excitatory,0,0
3697,True,excitatory,0.1,0.1
3700,True,excitatory,0,0
3703,True,excitatory,0,0.1
3710,True,excitatory,0,0
3739,True,excitatory,0,0
3745,True,excitatory,0,0
3767,True,inhibitory,1.1,0.6
3768,True,excitatory,0.3,0.5
3769,True,excitatory,0,0
3770,True,excitatory,0.9,0.9
3775,True,excitatory,0,0
3783,True,excitatory,3.1,3.6
3789,True,excitatory,0,0
3797,True,excitatory,0,0
3839,True,excitatory,9.1,7.7
3843,True,inhibitory,2.3,2.7
3845,True,excitatory,0,0
3852,True,inhibitory,7.4,6.7
3856,True,excitatory,2.7,2.8
3877,True,excitatory,3.7,3.5
3884,True,excitatory,0,0
3889,True,excitatory,0.1,0.1
3894,True,inhibitory,4.2,5.1
3896,True,excitatory,0.2,0.3
3899,True,excitatory,0,0.1
3909,True,excitatory,0.4,0.5
3921,True,excitatory,3.5,3.3
3943,True,excitatory,0.1,0
3952,True,excitatory,0,0
3958,True,excitatory,0,0
3971,True,inhibitory,14.2,16.2
3986,True,excitatory,0,0
3990,True,excitatory,0,0
4029,True,excitatory,0,0
4046,True,inhibitory,45.5,45.9
4051,True,inhibitory,0,0
4059,True,excitatory,0.4,0.5
4064,True,inhibitory,33.8,33.7
4073,True,excitatory,0,0
4077,True,excitatory,0,0
4082,True,excitatory,6.7,7.5
4091,True,excitatory,0.2,0.2
4106,True,excitatory,0,0
4112,True,excitatory,0,0
4117,True,excitatory,0.1,0.1
4118,True,excitatory,7.1,7.7
4121,True,excitatory,0,0
4124,True,excitatory,0.4,0.3
4152,True,excitatory,0,0
4171,True,excitatory,0,0
4180,True,excitatory,0,0
4188,True,excitatory,0,0
4191,True,excitatory,0,0
4204,True,excitatory,0.3,0.2
4225,True,excitatory,0,0
4238,True,excitatory,0,0.1
4246,True,inhibitory,2.4,2.8
4288,True,excitatory,0,0.2
4318,True,excitatory,0.8,0.8
4356,True,excitatory,0.4,0.4
4359,True,excitatory,0,0
4360,True,excitatory,8.3,9.6
4385,True,excitatory,0.1,0.1
4397,True,inhibitory,6.4,5.3
4402,True,excitatory,2.2,2.4
4403,True,excitatory,0.5,0.5
4405,True,inhibitory,13.3,15.1
4407,True,inhibitory,26.1,24
4414,True,inhibitory,3.3,1.7
4417,True,inhibitory,8.6,9.2
4429,True,inhibitory,3.5,2
4430,True,inhibitory,5.3,5.5
4445,True,excitatory,8.4,9.3
4450,True,inhibitory,2,1.6
4458,True,excitatory,2.7,2.5
4471,True,excitatory,0.3,0.6
4474,True,inhibitory,1.2,1.2
4489,True,excitatory,1.7,2.1
4503,True,excitatory,0.9,1.2
4505,True,inhibitory,0.6,0.3
4517,True,excitatory,0,0
4531,True,inhibitory,2.2,2.3
4533,True,excitatory,0,0
4550,True,excitatory,0,0
4551,True,inhibitory,66.8,65.6
4560,True,excitatory,35.5,34.4
4562,True,excitatory,0.3,0.1
4576,True,excitatory,2.5,2.7
4580,True,excitatory,0.1,0
4597,True,excitatory,0,0
4609,True,inhibitory,17.7,16.2
4631,True,excitatory,10.6,13.1
4636,True,excitatory,0,0
4639,True,excitatory,1.9,2.4
4650,True,excitatory,0,0
4668,True,inhibitory,11.5,10.2
4671,True,excitatory,0,0
4674,True,excitatory,0,0
4702,True,excitatory,0.1,0.2
4707,True,excitatory,0,0
4708,True,excitatory,0.5,0.5
4720,True,inhibitory,22.1,21.9
4735,True,excitatory,0,0
4749,True,excitatory,2.7,2.8
4758,True,excitatory,0,0
4766,True,excitatory,2.6,2.4
4784,True,excitatory,1,1.2
4795,True,excitatory,0,0
4817,True,inhibitory,0.5,0.2
4835,True,inhibitory,57.7,54.8
4850,True,excitatory,0,0
4868,True,inhibitory,0,0
4876,True,excitatory,6.1,5.7
4882,True,excitatory,3.8,3.1
4883,True,inhibitory,0.8,1.1
4920,True,excitatory,7.2,4.5
4935,True,excitatory,3.9,3.9
4941,True,excitatory,0.3,0.1
4961,True,excitatory,2.2,2
4977,True,excitatory,0.5,0.6
0,False,inhibitory,0.2,0.1
1,False,excitatory,1.4,0.2
2,False,inhibitory,6.8,4.9
3,False,excitatory,0.1,0
4,False,excitatory,0.2,0.2
5,False,inhibitory,4.3,4.4
6,False,excitatory,0,0
7,False,excitatory,0.4,0.3
8,False,excitatory,0,0
9,False,excitatory,2.8,2.5
10,False,excitatory,0,0
11,False,excitatory,0,0
13,False,inhibitory,6.4,6.2
14,False,excitatory,11.3,12.9
15,False,excitatory,0.5,0.3
17,False,excitatory,0,0
18,False,excitatory,0.1,0
19,False,inhibitory,23.2,20.4
20,False,excitatory,17.3,17.2
21,False,excitatory,0.8,0.8
22,False,excitatory,72.1,67.4
23,False,excitatory,0,0
24,False,inhibitory,60.2,56.3
25,False,excitatory,0,0
27,False,excitatory,0.1,0.1
28,False,excitatory,1.9,2.4
29,False,excitatory,0,0
31,False,excitatory,0,0
32,False,inhibitory,0,0
33,False,excitatory,0.7,0.7
35,False,excitatory,0,0
36,False,excitatory,0.7,0.6
37,False,excitatory,0,0
38,False,excitatory,3.6,3.9
39,False,excitatory,1,0.9
40,False,excitatory,24.6,22.8
41,False,excitatory,0,0
42,False,excitatory,0.5,0.4
43,False,excitatory,0,0
44,False,excitatory,0.2,0.1
45,False,inhibitory,7.6,8.2
46,False,excitatory,2.8,2.6
47,False,excitatory,2.8,3.2
48,False,excitatory,0.1,0
49,False,excitatory,7,6.9
50,False,excitatory,17,14.9
51,False,inhibitory,0.1,0.1
52,False,excitatory,0,0
53,False,excitatory,0,0
54,False,excitatory,0.8,1
55,False,excitatory,0.2,0
56,False,inhibitory,8.2,6.7
57,False,inhibitory,1.3,1.5
58,False,excitatory,9.4,9
60,False,inhibitory,16.9,15.9
61,False,excitatory,0,0
62,False,excitatory,0.1,0.1
63,False,excitatory,0,0
64,False,excitatory,26.5,26.8
65,False,excitatory,0,0
66,False,excitatory,0.9,1
67,False,inhibitory,10.1,10.3
68,False,excitatory,0.2,0.5
69,False,excitatory,0,0
70,False,inhibitory,12.3,10.8
71,False,excitatory,0.7,0.7
72,False,excitatory,0,0
73,False,excitatory,0.9,0.5
74,False,excitatory,0.6,0.7
75,False,excitatory,0.9,0.9
76,False,excitatory,0,0.1
77,False,excitatory,0,0
78,False,inhibitory,27.5,26.2
79,False,excitatory,0,0
80,False,excitatory,0,0
81,False,excitatory,10.4,11
82,False,excitatory,0.1,0.3
83,False,excitatory,0.1,0.3
85,False,excitatory,0,0
86,False,inhibitory,0,0
87,False,excitatory,0,0
88,False,excitatory,0.1,0.1
90,False,inhibitory,0.1,0.1
91,False,inhibitory,0,0
92,False,inhibitory,2.1,2
93,False,excitatory,1,0.8
94,False,excitatory,0.1,0.2
95,False,excitatory,0,0
97,False,excitatory,0.1,0.1
98,False,excitatory,4.6,4.4
99,False,inhibitory,16.2,15.5
100,False,inhibitory,22.9,21.1
102,False,excitatory,0,0
103,False,excitatory,0.3,0.4
105,False,excitatory,4.4,3.9
106,False,excitatory,1,1.1
107,False,excitatory,0.1,0.2
108,False,excitatory,0.1,0.1
109,False,excitatory,0,0
110,False,excitatory,1.7,1.6
112,False,excitatory,0.3,0.3
113,False,excitatory,0.3,0.4
114,False,excitatory,0,0
115,False,excitatory,0,0
116,False,excitatory,2.3,2.1
117,False,excitatory,17.2,16.6
118,False,excitatory,0,0
119,False,inhibitory,16.5,14
122,False,excitatory,2.4,2.2
123,False,excitatory,0.4,0.2
124,False,excitatory,18.1,18.2
125,False,excitatory,0,0
126,False,excitatory,2.2,2.3
127,False,excitatory,0.1,0.1
129,False,excitatory,0,0
130,False,excitatory,0,0
131,False,excitatory,0,0
132,False,excitatory,0.7,0.7
133,False,excitatory,8.3,7.9
134,False,excitatory,1.8,2.1
135,False,excitatory,3.2,3.4
136,False,excitatory,0,0
137,False,excitatory,9.6,9.2
138,False,excitatory,0.1,0.2
139,False,excitatory,0.2,0.1
141,False,inhibitory,0.4,0.6
143,False,excitatory,25.9,25.6
145,False,excitatory,0,0
146,False,excitatory,0.3,0.2
148,False,excitatory,0,0
149,False,excitatory,1.4,1.4
150,False,excitatory,0,0
151,False,excitatory,3.5,3.1
152,False,inhibitory,0.1,0
153,False,excitatory,0,0
154,False,excitatory,0.3,0.1
155,False,excitatory,0,0
156,False,excitatory,0.6,0.7
157,False,excitatory,0,0
158,False,excitatory,0.1,0.1
159,False,excitatory,2.2,2.5
160,False,excitatory,0,0
161,False,excitatory,0,0
162,False,excitatory,0.2,0.1
163,False,excitatory,0.2,0.3
165,False,excitatory,0,0
166,False,excitatory,0,0
167,False,excitatory,1.4,1.4
168,False,inhibitory,3.4,4.2
169,False,excitatory,0,0
170,False,excitatory,2.2,2.8
171,False,excitatory,0,0
172,False,excitatory,2,2
173,False,excitatory,0.1,0.4
174,False,inhibitory,0.1,0.1
175,False,excitatory,0,0
176,False,excitatory,0.4,0.2
177,False,excitatory,1.1,1
179,False,excitatory,0.3,0.3
180,False,excitatory,0.2,0.7
181,False,excitatory,0,0
182,False,excitatory,0,0
183,False,excitatory,1.8,2.2
184,False,excitatory,0,0
185,False,excitatory,0,0
186,False,excitatory,1.9,1.7
187,False,excitatory,0.3,0.3
188,False,excitatory,0,0
189,False,excitatory,0,0
190,False,excitatory,7.4,7.8
191,False,excitatory,0,0
192,False,excitatory,1.4,1.6
193,False,excitatory,0,0
195,False,inhibitory,27.9,26.3
196,False,excitatory,1.1,0.9
197,False,excitatory,0,0.1
199,False,excitatory,0,0
200,False,excitatory,9.5,12.7
201,False,excitatory,0,0
202,False,excitatory,0.6,0.6
204,False,inhibitory,0,0
205,False,excitatory,0.3,0.2
206,False,excitatory,0,0
208,False,excitatory,0,0
209,False,inhibitory,1,1
210,False,inhibitory,18.2,18.3
211,False,excitatory,0,0
212,False,excitatory,0.1,0
213,False,inhibitory,2.5,3.1
215,False,excitatory,0.7,0.6
216,False,excitatory,0.8,0.8
217,False,excitatory,0,0
218,False,excitatory,1.4,1.4
219,False,excitatory,2.4,1.8
220,False,excitatory,0,0
221,False,inhibitory,15.7,13.4
222,False,excitatory,0,0.1
223,False,excitatory,0.9,0.2
224,False,inhibitory,27.2,26.7
225,False,excitatory,0,0
226,False,excitatory,0,0
227,False,excitatory,3.7,3.5
228,False,inhibitory,9.4,8.9
229,False,inhibitory,6.7,7.8
230,False,excitatory,0.4,0.5
231,False,excitatory,5.3,6.4
232,False,excitatory,0,0
233,False,excitatory,0.1,0.1
234,False,excitatory,2.4,2.4
235,False,excitatory,0,0
236,False,excitatory,0,0
237,False,excitatory,0,0
238,False,excitatory,7,6.4
239,False,inhibitory,0,0.2
240,False,inhibitory,0,0
241,False,excitatory,0,0
242,False,excitatory,11.1,11.1
243,False,excitatory,0,0
244,False,inhibitory,5.3,2.7
245,False,excitatory,0.2,0.4
246,False,excitatory,0,0
247,False,excitatory,0,0
248,False,excitatory,0.1,0.2
250,False,inhibitory,19.3,20.2
251,False,inhibitory,1.5,1.3
252,False,inhibitory,3.2,4.2
253,False,excitatory,0,0
254,False,inhibitory,0,0.4
255,False,excitatory,0,0
256,False,excitatory,4.2,4.6
258,False,excitatory,2.5,3.1
259,False,excitatory,8.5,8.6
260,False,excitatory,1.1,1.1
261,False,excitatory,0.6,0.6
262,False,inhibitory,5.3,4.7
263,False,inhibitory,2.9,3.1
264,False,inhibitory,0.3,0.2
265,False,excitatory,0.1,0.1
266,False,excitatory,0,0
267,False,excitatory,1.3,1.3
268,False,inhibitory,8.7,10.6
269,False,excitatory,0.2,0.3
270,False,excitatory,0,0
271,False,excitatory,0.7,1.1
272,False,excitatory,0.8,0.9
274,False,excitatory,0.1,0.1
275,False,excitatory,0,0
276,False,excitatory,0.6,0.2
277,False,excitatory,0,0
279,False,inhibitory,12.1,13.7
280,False,excitatory,0,0.1
281,False,excitatory,0.4,0.4
282,False,excitatory,4.7,5.1
283,False,excitatory,0.9,0.1
284,False,inhibitory,7.9,7.6
285,False,excitatory,0,0
286,False,excitatory,5.7,6.5
287,False,excitatory,0,0
289,False,inhibitory,0.3,0.2
290,False,excitatory,0.2,0.2
291,False,excitatory,0,0
292,False,inhibitory,5.6,5.2
293,False,inhibitory,88.1,79
294,False,excitatory,0,0
295,False,excitatory,0.1,0
296,False,inhibitory,2.8,3.5
297,False,excitatory,0.3,0.2
298,False,excitatory,3.9,3.6
299,False,excitatory,0,0
300,False,excitatory,0,0
301,False,excitatory,0,0
302,False,excitatory,0,0
303,False,excitatory,0,0
304,False,excitatory,6.7,6.4
305,False,excitatory,0,0
306,False,excitatory,0,0
307,False,inhibitory,2.9,4.1
308,False,excitatory,0.1,0
309,False,excitatory,1.1,1.2
310,False,excitatory,4,4.4
311,False,excitatory,0.9,0.9
313,False,excitatory,0,0
314,False,excitatory,4.1,3.6
315,False,excitatory,0,0.1
316,False,excitatory,0,0
317,False,excitatory,0,0
318,False,excitatory,0,0
319,False,excitatory,0.6,0.7
320,False,excitatory,28.9,27.6
321,False,excitatory,1.3,1.5
323,False,excitatory,0,0
324,False,excitatory,0,0
325,False,inhibitory,10,10.9
326,False,excitatory,0.7,0.5
327,False,inhibitory,31.7,36.2
328,False,excitatory,0,0
332,False,excitatory,0,0
333,False,excitatory,3.7,3.6
334,False,excitatory,0.2,0
335,False,excitatory,3,3.2
336,False,inhibitory,0.4,0.4
337,False,excitatory,2.1,2.5
338,False,inhibitory,0.5,0.3
339,False,excitatory,0,0
341,False,excitatory,3.7,3.8
342,False,excitatory,0.2,0.1
343,False,excitatory,0,0
344,False,excitatory,0,0
345,False,excitatory,0,0
346,False,excitatory,1.4,0.8
347,False,excitatory,0,0
348,False,excitatory,10.8,11.7
350,False,excitatory,1,1.1
351,False,excitatory,0,0
352,False,inhibitory,0.3,0.3
353,False,excitatory,0.1,0.1
354,False,excitatory,2.3,1.7
355,False,excitatory,0.1,0.2
356,False,excitatory,0.1,0.1
357,False,excitatory,0,0
358,False,excitatory,0.5,0.4
359,False,inhibitory,1.4,1.3
360,False,inhibitory,21.1,18.1
361,False,excitatory,0,0
362,False,excitatory,12.8,13.1
363,False,excitatory,4.7,4.7
364,False,inhibitory,0.5,0.2
366,False,inhibitory,19.6,18
370,False,excitatory,0,0
371,False,excitatory,0,0.1
372,False,excitatory,0.5,0.4
375,False,excitatory,0,0
376,False,excitatory,0.7,1
377,False,inhibitory,0.1,0.1
378,False,excitatory,0,0
379,False,excitatory,0,0
380,False,excitatory,0,0
381,False,excitatory,1.8,1.9
382,False,excitatory,1.4,1.6
383,False,inhibitory,78.9,71.3
384,False,inhibitory,0.6,0.5
385,False,excitatory,9.9,8.7
386,False,excitatory,0.5,0.5
387,False,excitatory,19.9,20.1
388,False,excitatory,0,0
389,False,excitatory,0,0
390,False,excitatory,7.1,7.2
391,False,excitatory,0.5,0.4
392,False,excitatory,52.8,53.6
393,False,inhibitory,0.2,0.2
394,False,excitatory,4.2,4.3
395,False,inhibitory,42.4,38
396,False,excitatory,0,0
397,False,inhibitory,9.3,8.9
398,False,excitatory,0,0
399,False,excitatory,0.3,0.2
400,False,inhibitory,1,1.1
401,False,inhibitory,0.9,1
403,False,excitatory,0,0
404,False,excitatory,0,0
406,False,excitatory,0,0
407,False,excitatory,36.6,36
409,False,excitatory,9.9,9.5
410,False,excitatory,7,7.3
411,False,excitatory,0.4,0.4
412,False,excitatory,1.4,1.5
413,False,excitatory,0,0
414,False,excitatory,0.6,0.7
415,False,excitatory,0,0
416,False,inhibitory,2.2,2.2
417,False,excitatory,0,0
